config,short_tm_name,spearman_correlation,pearson_correlation,cluster_ordering,rotation,distance_consistency,silhouette_coefficient,trustworthiness,continuity,local_continuity,mrre_missing,mrre_false,label_preservation,file_name_1,file_name_2
mds,LSI,1.0,1.0,1.0,-105.12138021943176,0.0,0.0,1.0,1.0,0.9977607165706976,1.0,1.0,1.0,seven_categories/random_seed_0/jitter_amount_0.0/mds_seven_categories_tfidf_True_cosine_250_28d047b098c287e_68fe285025d5175.npy,seven_categories/random_seed_0/jitter_amount_0.0/mds_seven_categories_tfidf_True_cosine_300_28d047b098c287e_68fe285025d5175.npy
mds,LSI,1.0,0.9999999999999996,1.0,100.202517266857,0.0,0.0,1.0,1.0,0.9977607165706976,1.0,1.0,1.0,seven_categories/random_seed_0/jitter_amount_0.0/mds_seven_categories_lsi_n_topics_14_decay_1.0_onepass_True_power_iters_2_extra_samples_100_True_cosine_100_28d047b098c287e_68fe285025d5175.npy,seven_categories/random_seed_0/jitter_amount_0.0/mds_seven_categories_lsi_n_topics_14_decay_1.0_onepass_True_power_iters_2_extra_samples_100_True_cosine_150_28d047b098c287e_68fe285025d5175.npy
mds,LSI,1.0,0.9999999999999998,1.0,100.20251726692985,0.0,1.1102230246251563e-16,1.0,1.0,0.9977607165706976,1.0,1.0,1.0,seven_categories/random_seed_0/jitter_amount_0.0/mds_seven_categories_lsi_n_topics_14_decay_1.0_onepass_True_power_iters_2_extra_samples_100_True_cosine_150_28d047b098c287e_68fe285025d5175.npy,seven_categories/random_seed_0/jitter_amount_0.0/mds_seven_categories_lsi_n_topics_14_decay_1.0_onepass_True_power_iters_2_extra_samples_100_True_cosine_200_28d047b098c287e_68fe285025d5175.npy
mds,LSI,1.0,1.0,1.0,100.20251726691444,0.0,0.0,1.0,1.0,0.9977607165706976,1.0,1.0,1.0,seven_categories/random_seed_0/jitter_amount_0.0/mds_seven_categories_lsi_n_topics_14_decay_1.0_onepass_True_power_iters_2_extra_samples_100_True_cosine_200_28d047b098c287e_68fe285025d5175.npy,seven_categories/random_seed_0/jitter_amount_0.0/mds_seven_categories_lsi_n_topics_14_decay_1.0_onepass_True_power_iters_2_extra_samples_100_True_cosine_250_28d047b098c287e_68fe285025d5175.npy
mds,LSI,1.0,0.9999999999999998,1.0,100.20251726692985,0.0,1.1102230246251563e-16,1.0,1.0,0.9977607165706976,1.0,1.0,1.0,seven_categories/random_seed_0/jitter_amount_0.0/mds_seven_categories_lsi_n_topics_14_decay_1.0_onepass_True_power_iters_2_extra_samples_100_True_cosine_250_28d047b098c287e_68fe285025d5175.npy,seven_categories/random_seed_0/jitter_amount_0.0/mds_seven_categories_lsi_n_topics_14_decay_1.0_onepass_True_power_iters_2_extra_samples_100_True_cosine_300_28d047b098c287e_68fe285025d5175.npy
mds,LSI,1.0,1.0,1.0,-40.46800081011917,0.0,8.326672684688674e-17,1.0,1.0,0.9977607165706976,1.0,1.0,1.0,seven_categories/random_seed_0/jitter_amount_0.0/mds_seven_categories_lsi_tfidf_n_topics_14_decay_1.0_onepass_True_power_iters_2_extra_samples_100_True_cosine_100_28d047b098c287e_68fe285025d5175.npy,seven_categories/random_seed_0/jitter_amount_0.0/mds_seven_categories_lsi_tfidf_n_topics_14_decay_1.0_onepass_True_power_iters_2_extra_samples_100_True_cosine_150_28d047b098c287e_68fe285025d5175.npy
mds,LSI,1.0,1.0,1.0,-40.46800081011918,0.0,8.326672684688674e-17,1.0,1.0,0.9977607165706976,1.0,1.0,1.0,seven_categories/random_seed_0/jitter_amount_0.0/mds_seven_categories_lsi_tfidf_n_topics_14_decay_1.0_onepass_True_power_iters_2_extra_samples_100_True_cosine_150_28d047b098c287e_68fe285025d5175.npy,seven_categories/random_seed_0/jitter_amount_0.0/mds_seven_categories_lsi_tfidf_n_topics_14_decay_1.0_onepass_True_power_iters_2_extra_samples_100_True_cosine_200_28d047b098c287e_68fe285025d5175.npy
mds,LSI,1.0,1.0,1.0,-40.468000810111874,0.0,0.0,1.0,1.0,0.9977607165706976,1.0,1.0,1.0,seven_categories/random_seed_0/jitter_amount_0.0/mds_seven_categories_lsi_tfidf_n_topics_14_decay_1.0_onepass_True_power_iters_2_extra_samples_100_True_cosine_200_28d047b098c287e_68fe285025d5175.npy,seven_categories/random_seed_0/jitter_amount_0.0/mds_seven_categories_lsi_tfidf_n_topics_14_decay_1.0_onepass_True_power_iters_2_extra_samples_100_True_cosine_250_28d047b098c287e_68fe285025d5175.npy
mds,LSI,1.0,1.0,1.0,-40.468000810111874,0.0,0.0,1.0,1.0,0.9977607165706976,1.0,1.0,1.0,seven_categories/random_seed_0/jitter_amount_0.0/mds_seven_categories_lsi_tfidf_n_topics_14_decay_1.0_onepass_True_power_iters_2_extra_samples_100_True_cosine_250_28d047b098c287e_68fe285025d5175.npy,seven_categories/random_seed_0/jitter_amount_0.0/mds_seven_categories_lsi_tfidf_n_topics_14_decay_1.0_onepass_True_power_iters_2_extra_samples_100_True_cosine_300_28d047b098c287e_68fe285025d5175.npy
mds,LSI,1.0,1.0,1.0,-56.30065449122758,0.0,0.0,1.0,1.0,0.9977607165706976,1.0,1.0,1.0,seven_categories/random_seed_0/jitter_amount_0.0/mds_seven_categories_lda_linear_combined_n_topics_14_alpha_auto_iterations_1000_topic_threshold_0.0_True_jensenshannon_100_28d047b098c287e_68fe285025d5175.npy,seven_categories/random_seed_0/jitter_amount_0.0/mds_seven_categories_lda_linear_combined_n_topics_14_alpha_auto_iterations_1000_topic_threshold_0.0_True_jensenshannon_150_28d047b098c287e_68fe285025d5175.npy
